lat,long,tot_hh,tot_illt,tot_lit,tot_pop,tot_sc,tot_st,tot_w,w_hh_income_10l_above_perc,w_hh_income_5l_above_perc,w_hh_income_20l_above_perc,w_pop_tt,pop_age_0_18_perc,pop_age_18_60_perc,pop_age_60_above_perc,pop_ratio_fm,avail_assets_comp_intnt_perc,avail_assets_comp_no_intnt_perc,avail_assets_tele_mob_mob_only_perc,avail_assets_tv_perc,f_illt_perc,f_l6_perc,f_lit_perc,f_pop_perc,f_sc_perc,f_st_perc,f_w_perc,hh_sz_1_perc,hh_sz_2_perc,hh_sz_3_perc,hh_sz_4_perc,hh_sz_5_perc,hh_sz_6_8_perc,hh_sz_9_plus_perc,m_illt_perc,m_lit_perc,m_pop_perc,m_sc_perc,m_st_perc,m_w_perc,mrd_cpl_1_perc,mrd_cpl_2_perc,mrd_cpl_3_perc,mrd_cpl_4_perc,mrd_cpl_5_plus_perc,mrd_cpl_none_perc,tot_illt_perc,tot_lit_perc,tot_sc_perc,tot_st_perc,tot_w_perc
19.220685807965257,72.83096079459213,1615.0,1408.0,5661.0,7069.0,780.0,85.0,2682.0,16.86,52.56,4.09,6644.0,27.6,64.93,7.12,,8.359,10.217,63.22,74.675,11.034,4.456,36.865,47.899,5.404,0.594,7.823,3.963,10.341,21.981,26.749,16.223,16.656,4.149,8.87,43.217,52.087,5.63,0.608,30.117,70.588,12.198,2.477,0.433,0.124,14.18,19.918,80.082,11.034,1.202,37.94
19.220685807965257,72.8347661769657,1144.0,997.0,4011.0,5009.0,553.0,60.0,1900.0,20.82,59.3,4.08,4708.0,27.6,64.93,7.12,,8.392,10.227,63.287,74.65,11.04,4.452,36.874,47.914,5.41,0.599,7.826,3.934,10.315,22.028,26.748,16.171,16.608,4.108,8.864,43.222,52.086,5.63,0.619,30.106,70.629,12.15,2.535,0.437,0.087,14.161,19.904,80.076,11.04,1.198,37.932
19.220685807965257,72.83857155933927,1104.0,963.0,3872.0,4834.0,533.0,58.0,1834.0,23.06,62.15,4.14,4544.0,27.6,64.93,7.12,,8.424,10.236,63.225,74.728,11.047,4.468,36.864,47.911,5.399,0.6,7.82,3.986,10.326,22.011,26.721,16.214,16.667,4.167,8.875,43.215,52.089,5.627,0.621,30.12,70.652,12.228,2.536,0.453,0.091,14.13,19.921,80.099,11.026,1.2,37.94
19.220685807965257,72.84237694171284,1258.0,1097.0,4410.0,5507.0,608.0,66.0,2089.0,25.12,64.45,4.1,5176.0,27.6,64.93,7.12,,8.426,10.254,63.275,74.642,11.04,4.467,36.862,47.903,5.411,0.581,7.826,3.975,10.334,22.019,26.709,16.216,16.614,4.134,8.88,43.218,52.097,5.629,0.617,30.107,70.588,12.162,2.464,0.477,0.079,14.149,19.92,80.08,11.04,1.198,37.934
19.220685807965257,72.84618232408641,1058.0,922.0,3708.0,4630.0,511.0,56.0,1757.0,24.17,63.42,3.86,4352.0,27.6,64.93,7.12,,8.412,10.208,63.233,74.669,11.037,4.471,36.868,47.905,5.4,0.583,7.819,3.97,10.302,22.023,26.749,16.163,16.635,4.159,8.877,43.218,52.095,5.637,0.605,30.108,70.605,12.193,2.457,0.473,0.095,14.178,19.914,80.086,11.037,1.21,37.948
19.220685807965257,72.84998770645998,1482.0,1292.0,5195.0,6486.0,716.0,78.0,2461.0,26.77,66.59,4.2,6097.0,27.6,64.93,7.12,,8.367,10.256,63.225,74.629,11.039,4.456,36.864,47.903,5.412,0.586,7.832,3.914,10.324,21.997,26.721,16.194,16.667,4.116,8.881,43.216,52.097,5.628,0.617,30.111,70.58,12.146,2.497,0.472,0.135,14.17,19.92,80.096,11.039,1.203,37.943
19.220685807965257,72.85379308883356,1146.0,999.0,4017.0,5015.0,553.0,60.0,1903.0,21.38,59.99,4.16,4714.0,27.6,64.93,7.12,,8.377,10.209,63.264,74.695,11.047,4.467,36.869,47.916,5.404,0.598,7.836,3.927,10.384,21.99,26.702,16.23,16.667,4.101,8.873,43.23,52.104,5.623,0.618,30.11,70.593,12.216,2.531,0.436,0.087,14.136,19.92,80.1,11.027,1.196,37.946
19.220685807965257,72.85759847120713,1179.0,1028.0,4133.0,5161.0,569.0,62.0,1958.0,18.47,55.49,4.12,4851.0,27.6,64.93,7.12,,8.397,10.263,63.274,74.64,11.044,4.457,36.873,47.917,5.406,0.581,7.828,3.902,10.348,21.968,26.718,16.2,16.624,4.156,8.874,43.228,52.102,5.619,0.62,30.11,70.568,12.214,2.46,0.424,0.085,14.165,19.919,80.081,11.025,1.201,37.938
19.220685807965257,72.8614038535807,1059.0,923.0,3711.0,4634.0,511.0,56.0,1758.0,17.18,53.46,4.13,4355.0,27.6,64.93,7.12,,8.404,10.198,63.173,74.599,11.049,4.467,36.858,47.907,5.395,0.583,7.833,3.966,10.387,22.002,26.723,16.147,16.619,4.155,8.869,43.224,52.093,5.632,0.604,30.104,70.538,12.181,2.455,0.472,0.094,14.164,19.918,80.082,11.027,1.208,37.937
19.220685807965257,72.86520923595427,993.0,866.0,3482.0,4347.0,480.0,52.0,1649.0,18.01,54.72,4.41,4086.0,27.6,64.93,7.12,,8.359,10.272,63.243,74.723,11.042,4.463,36.876,47.918,5.406,0.598,7.821,3.927,10.373,21.954,26.788,16.213,16.616,4.129,8.88,43.225,52.105,5.636,0.621,30.113,70.594,12.185,2.518,0.403,0.101,14.199,19.922,80.101,11.042,1.196,37.934
19.220685807965257,72.86901461832784,1143.0,996.0,4008.0,5004.0,552.0,60.0,1899.0,20.15,58.5,4.0,4704.0,27.6,64.93,7.12,,8.399,10.236,63.255,74.716,11.031,4.456,36.871,47.902,5.396,0.6,7.834,3.937,10.324,21.96,26.772,16.185,16.623,4.112,8.873,43.225,52.098,5.635,0.62,30.116,70.604,12.161,2.537,0.437,0.087,14.173,19.904,80.096,11.031,1.199,37.95
19.220685807965257,72.87282000070141,384.0,333.0,1327.0,1660.0,162.0,24.0,635.0,23.26,62.75,2.85,1823.0,27.6,64.93,7.12,,11.198,11.719,65.104,77.865,11.024,4.759,36.506,47.53,4.759,0.723,8.012,3.906,10.417,21.354,27.344,16.667,16.406,3.646,9.096,43.434,52.53,5.0,0.723,30.301,71.875,11.198,2.344,0.26,0.0,14.323,20.06,79.94,9.759,1.446,38.253
